id,sales
3000888,3.7663698
3000889,0.04750955
3000890,5.2989964
3000891,2128.9976
3000892,0.19561613
3000893,410.53403
3000894,12.256721
3000895,753.8339
3000896,861.6268
3000897,191.62706
3000898,152.91145
3000899,120.353004
3000900,3110.5054
3000901,26.049685
3000902,1.8564692
3000903,20.212593
3000904,40.120594
3000905,0.59058666
3000906,199.36742
3000907,14.081064
3000908,38.275574
3000909,15.535528
3000910,91.61393
3000911,5.4656925
3000912,274.82977
3000913,274.14523
3000914,4.691349
3000915,6.872461
3000916,333.05704
3000917,69.33216
3000918,3670.2107
3000919,28.159119
3000920,23.6652
3000921,1.0605109
3000922,-0.123998046
3000923,2.3065515
3000924,1204.2249
3000925,-0.1727066
3000926,121.63772
3000927,1.9303262
3000928,578.94354
3000929,431.7309
3000930,242.16682
3000931,30.641188
3000932,22.07964
3000933,2398.6936
3000934,4.33716
3000935,-0.050232053
3000936,7.612562
3000937,24.345638
3000938,-0.12255776
3000939,160.40622
3000940,1.9160182
3000941,6.94316
3000942,6.1024017
3000943,37.241146
3000944,0.32127905
3000945,112.196365
3000946,228.0094
3000947,0.4048375
3000948,2.4676504
3000949,115.25438
3000950,21.465122
3000951,587.9724
3000952,24.573761
3000953,0.7806989
3000954,5.7764306
3000955,0.2689587
3000956,4.682404
3000957,4094.8594
3000958,0.017887115
3000959,596.99097
3000960,8.777806
3000961,1491.6318
3000962,744.361
3000963,509.50854
3000964,128.90106
3000965,71.14176
3000966,6492.939
3000967,22.313055
3000968,0.44959247
3000969,22.622051
3000970,43.2144
3000971,0.024437785
3000972,398.21002
3000973,10.29853
3000974,19.078892
3000975,10.694616
3000976,85.18049
3000977,2.3812106
3000978,536.7922
3000979,510.5644
3000980,2.10811
3000981,13.5375595
3000982,331.29468
3000983,85.03333
3000984,2347.7122
3000985,74.72724
3000986,6.0110283
3000987,3.2357645
3000988,-0.008147657
3000989,2.783753
3000990,1520.353
3000991,-0.01247257
3000992,163.38817
3000993,5.9297338
3000994,767.24835
3000995,481.9276
3000996,262.53314
3000997,48.12784
3000998,37.345264
3000999,2907.4668
3001000,10.896616
3001001,0.5312276
3001002,12.204001
3001003,27.62218
3001004,0.3337537
3001005,171.84384
3001006,4.222792
3001007,6.582505
3001008,10.840907
3001009,53.89321
3001010,1.1345325
3001011,149.24977
3001012,199.30743
3001013,0.7916664
3001014,4.6558595
3001015,127.84894
3001016,31.784016
3001017,737.0743
3001018,29.44314
3001019,2.1217966
3001020,3.2200227
3001021,0.09058738
3001022,4.265355
3001023,1434.6725
3001024,-0.09923226
3001025,135.767
3001026,3.9747267
3001027,617.9729
3001028,383.187
3001029,203.6971
3001030,35.339188
3001031,27.958755
3001032,2530.2202
3001033,8.338451
3001034,0.013842583
3001035,8.398483
3001036,21.039434
3001037,-0.15005887
3001038,123.618706
3001039,1.6179059
3001040,5.3393116
3001041,4.9926324
3001042,46.24307
3001043,0.6224742
3001044,116.34755
3001045,224.43958
3001046,0.23907006
3001047,2.8781745
3001048,79.223625
3001049,20.565668
3001050,527.8068
3001051,21.871544
3001052,1.1899269
3001053,2.8341103
3001054,0.016851783
3001055,3.7464256
3001056,1414.1544
3001057,-0.029965818
3001058,172.47418
3001059,5.6213937
3001060,998.4428
3001061,509.74545
3001062,293.1508
3001063,34.302418
3001064,34.554707
3001065,2939.0735
3001066,11.577604
3001067,0.32547748
3001068,11.551587
3001069,41.07367
3001070,0.16612911
3001071,190.34935
3001072,0.7755827
3001073,8.45768
3001074,7.728754
3001075,55.502754
3001076,1.2634389
3001077,205.2879
3001078,279.2766
3001079,0.76373005
3001080,3.440431
3001081,73.14726
3001082,69.73279
3001083,895.65594
3001084,30.53017
3001085,1.5878882
3001086,2.858712
3001087,0.6752521
3001088,4.8955836
3001089,1652.7937
3001090,0.0022289753
3001091,157.7897
3001092,1.5275912
3001093,794.6718
3001094,505.99194
3001095,291.60596
3001096,63.6093
3001097,51.909042
3001098,3121.641
3001099,8.330617
3001100,0.46429765
3001101,12.187032
3001102,33.25546
3001103,0.16388679
3001104,210.35365
3001105,6.7040424
3001106,6.114567
3001107,9.790357
3001108,35.639797
3001109,1.124129
3001110,123.40236
3001111,209.41646
3001112,0.56380355
3001113,4.0808377
3001114,100.67906
3001115,36.90638
3001116,1392.4623
3001117,29.812658
3001118,2.6160436
3001119,3.260559
3001120,-0.005162716
3001121,1.8141217
3001122,1220.3613
3001123,-0.033572853
3001124,138.10092
3001125,3.2538753
3001126,742.5868
3001127,310.10663
3001128,176.71617
3001129,97.78743
3001130,28.276232
3001131,2004.3336
3001132,5.172616
3001133,0.23199916
3001134,9.625142
3001135,23.106173
3001136,0.10604179
3001137,141.91687
3001138,-0.08615148
3001139,7.9655714
3001140,8.762959
3001141,43.07685
3001142,0.47648954
3001143,50.925762
3001144,157.03041
3001145,0.3183341
3001146,2.071943
3001147,58.949497
3001148,33.03843
3001149,1076.5469
3001150,22.679907
3001151,0.3818841
3001152,5.602896
3001153,0.41605163
3001154,3.7528858
3001155,2727.238
3001156,0.088783026
3001157,300.1597
3001158,4.2811913
3001159,966.49023
3001160,833.9666
3001161,483.04437
3001162,146.69864
3001163,86.19727
3001164,4270.3447
3001165,13.987603
3001166,0.8985057
3001167,16.000814
3001168,40.400642
3001169,0.22999406
3001170,259.58478
3001171,0.46330452
3001172,9.170772
3001173,11.146476
3001174,71.240974
3001175,1.7636769
3001176,198.22504
3001177,291.21497
3001178,1.3895783
3001179,5.456836
3001180,251.51118
3001181,51.043877
3001182,2168.0479
3001183,40.855705
3001184,7.0810623
3001185,2.7999444
3001186,0.088144064
3001187,4.0331054
3001188,1923.1217
3001189,0.011660337
3001190,473.08743
3001191,4.8987703
3001192,544.96436
3001193,653.76807
3001194,233.47597
3001195,114.92667
3001196,53.75427
3001197,2734.2056
3001198,9.603272
3001199,0.5303632
3001200,16.00801
3001201,26.18466
3001202,0.14005268
3001203,176.7465
3001204,6.856283
3001205,17.651814
3001206,9.851146
3001207,67.19817
3001208,1.3386707
3001209,100.437706
3001210,229.18872
3001211,2.7096362
3001212,4.1178055
3001213,157.44693
3001214,55.906605
3001215,2792.2346
3001216,53.962723
3001217,6.6426787
3001218,4.600623
3001219,0.3176992
3001220,3.5129542
3001221,2062.3423
3001222,-0.047944188
3001223,154.38525
3001224,4.0874825
3001225,716.83966
3001226,416.222
3001227,273.54892
3001228,47.600594
3001229,37.892574
3001230,2835.233
3001231,20.70462
3001232,0.6681889
3001233,11.065617
3001234,23.3818
3001235,0.010387421
3001236,132.21228
3001237,3.8272977
3001238,4.5985436
3001239,6.448817
3001240,41.46524
3001241,1.2640698
3001242,110.92262
3001243,151.92735
3001244,0.39404213
3001245,3.2287793
3001246,98.28077
3001247,23.182827
3001248,872.33386
3001249,19.2277
3001250,1.6497507
3001251,3.879951
3001252,0.06202984
3001253,5.992105
3001254,2535.6587
3001255,0.05992198
3001256,500.95868
3001257,10.232703
3001258,895.3789
3001259,961.2425
3001260,231.24338
3001261,150.01314
3001262,116.78785
3001263,3634.6306
3001264,26.40607
3001265,1.1661673
3001266,16.490387
3001267,40.13911
3001268,0.25483286
3001269,242.4311
3001270,17.42826
3001271,35.37614
3001272,13.318023
3001273,92.42976
3001274,5.64789
3001275,297.7649
3001276,364.444
3001277,5.9183135
3001278,8.438515
3001279,407.5747
3001280,83.99874
3001281,3779.108
3001282,28.401875
3001283,25.881866
3001284,5.668671
3001285,0.044166923
3001286,4.0135736
3001287,2736.0896
3001288,-0.19911546
3001289,414.573
3001290,5.1995063
3001291,948.46655
3001292,816.0162
3001293,476.7998
3001294,89.72734
3001295,55.296265
3001296,4155.105
3001297,10.272549
3001298,0.3684832
3001299,15.128393
3001300,38.443424
3001301,-0.2043739
3001302,237.85628
3001303,2.8596506
3001304,18.024033
3001305,12.458727
3001306,77.94787
